ID,Genotype,Location,Year,pod_shattering
142,L-15-0034,Kuban,2018,10
143,SK_Doka,Kuban,2018,10
144,SK_Unika,Kuban,2018,5
145,SK_Viola,Kuban,2018,0
146,Osmon,Kuban,2018,5
147,Mezenka,Kuban,2018,25
148,Avanta,Kuban,2018,0
149,Bara,Kuban,2018,5
150,Zlata,Kuban,2018,0
151,Volma,Kuban,2018,10
152,Kazachka,Kuban,2018,10
153,Georgiya,Kuban,2018,0
154,OAS_Prudens,Kuban,2018,60
155,Amigo,Kuban,2018,20
157,Puma,Kuban,2018,20
158,SK_69,Kuban,2018,10
159,SK_Farta,Kuban,2018,15
160,BGL-461,Kuban,2018,0
161,Arleta,Kuban,2018,5
162,Sparta,Kuban,2018,5
163,SK_Agra,Kuban,2018,5
164,Slaviya,Kuban,2018,10
165,Olimpiya,Kuban,2018,5
166,SK_Optima,Kuban,2018,5
167,Selekta_201,Kuban,2018,10
168,YES_Gladiator,Kuban,2018,50
169,Poltava,Kuban,2018,5
170,PR_130_900_4,Kuban,2018,15
171,SK_Veda,Kuban,2018,5
172,SK_Riana,Kuban,2018,5
173,Selekta_301,Kuban,2018,0
174,Vilana,Kuban,2018,5
175,PIN_419,Kuban,2018,0
176,Trembita,Kuban,2018,5
177,L-12-0154,Kuban,2018,5
178,KNR-12-09_R9,Kuban,2018,0
179,Selekta_302,Kuban,2018,5
180,Shama,Kuban,2018,0
181,Soriano,Kuban,2018,0
182,YES_Palador,Kuban,2018,5
183,Solador,Kuban,2018,0
184,SG_Kea,Kuban,2018,10
185,SG_Kalao,Kuban,2018,0
186,Zelda,Kuban,2018,10
187,OAK_M·edok,Kuban,2018,10
188,OAK_Preskot,Kuban,2018,5
189,RZHT_Sforza,Kuban,2018,0
190,Bettina,Kuban,2018,5
191,Santana,Kuban,2018,0
192,Regina,Kuban,2018,20
193,Kleopatra,Kuban,2018,10
194,Olviya,Kuban,2018,0
195,Aldana,Kuban,2018,60
196,Svetlaya,Kuban,2018,40
197,Kasatka,Kuban,2018,20
198,Annushka,Kuban,2018,5
199,Eldorado,Kuban,2018,5
200,SibNIIK_315,Kuban,2018,20
201,Svapa,Kuban,2018,0
202,Yug_30,Kuban,2018,60
203,Paradis,Kuban,2018,50
204,Tundra,Kuban,2018,60
205,Oressa,Kuban,2018,10
206,Ros,Kuban,2018,30
207,Lira,Kuban,2018,30
208,Pripyat,Kuban,2018,30
209,Bazaliya,Kuban,2018,0
210,Major,Kuban,2018,30
211,Maksus,Kuban,2018,20
212,Senator,Kuban,2018,15
213,Lissabon,Kuban,2018,10
214,Anastasiya,Kuban,2018,25
215,KH-KH_iz_Kitaya_№_2,Kuban,2018,30
216,Sultana,Kuban,2018,30
217,Fortuna,Kuban,2018,5
218,Malaga,Kuban,2018,40
219,Protino,Kuban,2018,5
220,Opus,Kuban,2018,15
221,Aligator,Kuban,2018,40
222,Kioto,Kuban,2018,5
223,Asuka,Kuban,2018,5
224,Amfor,Kuban,2018,15
225,Saydina,Kuban,2018,20
226,Kardiff,Kuban,2018,5
227,Chara,Kuban,2018,5
228,Delta,Kuban,2018,15
229,SG_Pikor,Kuban,2018,0
230,Banjo,Kuban,2018,0
231,Dana,Kuban,2018,5
232,Smuglyanka,Kuban,2018,10
233,Saska,Kuban,2018,5
234,Kassidi,Kuban,2018,5
235,Kofu,Kuban,2018,10
236,Kanata,Kuban,2018,5
237,Sevilya,Kuban,2018,15
238,Nilin_/_Delta,Kuban,2018,25
239,Khlorned_(ch/semyan.),Kuban,2018,0
240,Safrano,Kuban,2018,0
241,NS_Maksimus,Kuban,2018,5
242,Valyevka,Kuban,2018,0
243,Sava,Kuban,2018,0
244,Nilin,Kuban,2018,0
245,Hilario_Kunitz,Kuban,2018,0
246,KNR-12-09_R4,Kuban,2018,0
247,Izidor,Kuban,2018,0
248,Sponsor,Kuban,2018,0
249,Shuge,Kuban,2018,0
250,Ananda,Kuban,2018,0
251,L-17-68_(SK_Avrora),Kuban,2018,40
252,L-17-69,Kuban,2018,15
253,L-17-71,Kuban,2018,5
254,L-17-72,Kuban,2018,10
255,L-17-74,Kuban,2018,40
256,L-17-76,Kuban,2018,15
257,L-17-78,Kuban,2018,30
258,L-17-79,Kuban,2018,20
259,L-17-82,Kuban,2018,25
260,L-17-83,Kuban,2018,20
261,L-17-87,Kuban,2018,25
262,L-17-88,Kuban,2018,25
263,L-17-91,Kuban,2018,15
264,L-17-92,Kuban,2018,40
265,L-17-94,Kuban,2018,10
266,L-17-96,Kuban,2018,20
267,L-17-268,Kuban,2018,15
268,L-17-269,Kuban,2018,15
269,L-17-271,Kuban,2018,10
270,L-17-349,Kuban,2018,15
271,L-17-66,Kuban,2018,30
272,L-17-67,Kuban,2018,0
273,L-17-267,Kuban,2018,5
274,L-17-273,Kuban,2018,5
275,L-17-274,Kuban,2018,5
276,L-17-276,Kuban,2018,15
277,L-17-277,Kuban,2018,0
